date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2000-12-05,87.16,90.88,-9.88,24.99,83669.0,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-06,85.77,90.88,-11.32,25.07,74122.76,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-07,84.59,90.89,-12.54,25.34,69214.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-08,84.79,90.89,-12.33,22.41,73895.89,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-11,87.73,90.9,-9.29,23.51,94676.22,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-12,87.36,90.91,-9.68,24.88,84290.31,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-13,86.16,90.9,-10.91,23.63,73975.91,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-14,85.06,90.89,-12.05,24.86,63126.44,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-15,83.14,90.87,-14.03,26.55,58778.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-18,84.25,90.85,-12.89,27.7,59121.71,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-19,82.54,90.83,-14.66,27.17,45609.25,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-20,80.15,90.8,-17.13,31.74,37760.94,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-21,80.7,90.76,-16.56,29.66,38426.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-22,83.12,90.74,-14.06,27.55,47549.68,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-26,84.02,90.72,-13.13,28.73,48432.03,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-27,84.63,90.72,-12.5,28.14,50071.16,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-28,84.89,90.7,-12.23,26.57,49764.24,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2000-12-29,83.28,90.66,-13.89,26.85,42320.54,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-02,81.77,90.61,-15.45,29.99,31580.19,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-03,85.7,90.57,-11.39,26.6,47535.31,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-04,84.78,90.53,-12.34,26.97,44964.12,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-05,82.01,90.46,-15.2,28.67,34649.49,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-08,82.65,90.4,-14.55,29.84,35795.54,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-09,82.43,90.33,-14.77,27.99,35794.19,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-10,83.88,90.27,-13.28,26.8,41302.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-11,83.96,90.21,-13.19,25.79,44903.79,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-12,83.8,90.15,-13.36,24.56,46635.25,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-16,84.33,90.11,-12.8,25.28,44960.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-17,84.72,90.06,-12.4,24.93,49073.32,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-18,85.56,90.01,-11.53,23.37,55265.66,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-19,85.08,89.96,-12.03,23.24,54640.82,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-22,85.64,89.92,-11.45,23.25,54793.35,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-23,86.32,89.88,-10.75,21.57,58235.24,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-24,86.58,89.83,-10.49,22.03,56581.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-25,86.36,89.79,-10.71,22.64,49941.23,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-26,86.26,89.75,-10.81,22.57,52371.07,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-29,86.72,89.72,-10.34,22.61,55852.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-30,87.48,89.7,-9.55,22.57,55224.91,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-01-31,86.98,89.71,-10.06,22.02,49141.9,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-01,87.56,89.71,-9.47,21.66,51088.89,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-02,85.58,89.68,-11.52,21.95,42617.89,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-05,86.2,89.66,-10.87,22.19,42512.44,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-06,85.95,89.64,-11.13,21.98,42718.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-07,85.51,89.61,-11.59,21.67,40636.17,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-08,84.51,89.57,-12.62,21.46,36993.45,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-09,83.7,89.53,-13.46,22.03,32480.34,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-12,84.65,89.49,-12.47,21.92,33653.95,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-13,83.96,89.45,-13.19,21.37,30415.8,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-14,83.84,89.41,-13.32,21.52,34048.04,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-15,84.65,89.38,-12.48,20.27,35735.85,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-16,82.78,89.35,-14.41,22.12,29731.64,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-20,81.51,89.31,-15.73,24.69,26268.17,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-21,79.75,89.26,-17.55,25.75,24051.29,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-22,79.87,89.21,-17.42,26.76,23349.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-23,79.33,89.16,-17.98,27.21,23596.25,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-26,81.02,89.13,-16.23,25.43,24937.0,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-27,80.27,89.09,-17.01,26.49,20417.3,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-02-28,78.69,89.03,-18.64,28.35,18478.93,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-01,79.1,88.97,-18.21,28.08,20055.48,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-02,78.47,88.9,-18.86,27.43,17465.58,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-05,79.19,88.84,-18.12,27.12,18418.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-06,80.04,88.79,-17.24,25.89,20567.74,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-07,80.61,88.75,-16.65,24.12,20591.99,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-08,80.7,88.71,-16.56,24.29,19441.17,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-09,78.31,88.66,-19.03,25.62,15351.76,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-12,74.96,88.6,-22.49,30.32,12491.87,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-13,76.19,88.54,-21.22,27.55,14396.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-14,74.69,88.48,-22.78,29.61,13715.51,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2001-03-15,74.71,88.41,-22.76,28.56,12210.22,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
