date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2008-07-31,91.47,98.91,-17.7,22.94,2646.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-01,90.99,98.82,-18.14,22.57,2544.72,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-04,90.15,98.73,-18.9,23.49,2468.08,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-05,92.58,98.64,-16.71,21.14,2717.96,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-06,92.99,98.58,-16.34,20.23,2842.13,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-07,91.6,98.5,-17.59,21.15,2776.2,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-08,93.31,98.43,-16.06,20.66,2965.09,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-11,94.27,98.36,-15.19,20.12,3045.81,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-12,93.29,98.29,-16.07,21.17,3055.26,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-13,92.73,98.21,-16.58,21.55,3035.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-14,93.43,98.13,-15.95,20.34,3140.88,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-15,93.88,98.05,-15.54,19.58,3123.18,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-18,92.6,97.97,-16.69,20.98,3014.11,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-19,91.59,97.89,-17.6,21.28,2901.92,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-20,92.01,97.81,-17.22,20.42,2916.63,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-21,92.17,97.74,-17.08,19.82,2875.64,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-22,93.51,97.67,-15.88,18.81,2989.65,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-25,91.61,97.6,-17.58,20.97,2800.68,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-26,91.88,97.53,-17.34,20.49,2789.73,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-27,92.77,97.48,-16.54,19.76,2843.7,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-28,93.9,97.44,-15.52,19.43,2912.97,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-08-29,92.89,97.38,-16.43,20.65,2729.21,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-02,92.31,97.32,-16.95,21.99,2627.92,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-03,92.23,97.26,-17.02,21.43,2553.4,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-04,89.45,97.19,-19.52,24.03,2305.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-05,89.74,97.13,-19.27,23.06,2272.07,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-08,91.59,97.07,-17.6,22.64,2259.44,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-09,88.87,97.02,-20.05,25.47,2115.56,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-10,89.23,96.95,-19.72,24.52,2167.81,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-11,90.52,96.9,-18.56,24.39,2289.29,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-12,90.94,96.85,-18.19,25.66,2262.43,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2008-09-15,86.61,96.76,-22.08,31.7,2051.36,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
