Date,buy_hold_spy,buy_hold_qqq,trend_following_spy_200d,sixty_forty,dual_momentum,sector_momentum_top3_monthly,vix_overlay_spy_25,vix_overlay_spy_30,sector_rotation_5d_live,sector_rotation_sensitivity_best,ensemble_regime_routed,trend_leveraged_tqqq,trend_leveraged_upro,trend_with_inverse_sh,hedgefundie_55_45_upro_tmf,buy_dip_tqqq,vix_timing_with_inverse,tqqq_trend_1d_hold,tqqq_trend_5d_hold,tqqq_trend_21d_hold,tqqq_trend_vix_gated,tqqq_trend_trailing_stop_10pct,synth_3x_qqq_trend,synth_3x_spy_trend,synth_3x_qqq_trend_vix_gated,synth_3x_qqq_trend_trailing_stop_10pct
1993-05-06,101615.6144584701,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100666.86326848899,,
1993-05-07,101401.2138035678,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100676.85006047993,,
1993-05-10,101615.6144584701,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100686.83784322403,,
1993-05-11,102044.36054087507,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100696.8266168196,,
1993-05-12,101901.46358920661,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100706.81638136494,,
1993-05-13,100686.62648005487,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100716.80713695835,,
1993-05-14,100615.17011459211,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100726.79888369814,,
1993-05-17,100972.4913900484,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100736.79162168263,,
1993-05-18,100900.97979718607,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100746.78535101018,,
1993-05-19,102973.33274003326,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100756.78007177915,,
1993-05-20,103259.16609151276,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100766.77578408788,,
1993-05-21,102330.2254508686,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100776.77248803472,,
1993-05-24,102758.91630587395,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100786.77018371806,,
1993-05-25,102973.33274003326,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100796.7688712363,,
1993-05-26,104259.61043539074,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100806.76855068782,,
1993-05-27,103902.30493919148,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100816.76922217105,,
1993-05-28,103402.08671206674,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100826.77088578435,,
1993-06-01,104402.55472483026,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100836.77354162621,,
1993-06-02,104259.61043539074,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100846.77718979504,,
1993-06-03,103902.30493919148,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100856.78183038929,,
1993-06-04,103545.01522224926,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100866.7874635074,,
1993-06-07,103187.74128456406,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100876.79408924784,,
1993-06-08,102258.72963726328,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100886.80170770908,,
1993-06-09,102616.03513346253,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100896.8103189896,,
1993-06-10,102687.47571966825,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100906.81992318793,,
1993-06-11,103116.26913984431,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100916.83052040254,,
1993-06-14,102973.33274003326,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100926.84211073194,,
1993-06-15,102758.91630587395,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100936.85469427469,,
1993-06-16,102973.33274003326,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100946.8682711293,,
1993-06-17,103330.61456734697,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100956.88284139428,,
1993-06-18,102479.70235271877,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100966.89840516823,,
1993-06-21,102695.58625778195,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100976.91496254972,,
1993-06-22,102767.54755946966,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100986.93251363728,,
1993-06-23,101831.9954101297,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,100996.95105852952,,
1993-06-24,103199.42582439516,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101006.97059732502,,
1993-06-25,103127.40140567932,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101016.99113012239,,
1993-06-28,104278.876908225,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101027.01265702023,,
1993-06-29,103775.06890012583,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101037.03517811718,,
1993-06-30,103775.06890012583,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101047.05869351185,,
1993-07-01,103487.19213486089,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101057.08320330289,,
1993-07-02,102911.49383173064,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101067.10870758895,,
1993-07-06,101831.9954101297,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101077.13520646868,,
1993-07-07,102119.86428576613,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101087.16270004076,,
1993-07-08,103271.30034016923,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101097.19118840389,,
1993-07-09,103559.18499506266,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101107.22067165672,,
1993-07-12,103487.19213486089,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101117.25114989796,,
1993-07-13,103415.32550871535,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101127.28262322632,,
1993-07-14,103775.06890012583,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101137.31509174053,,
1993-07-15,103343.34053814209,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101147.34855553933,,
1993-07-16,103055.48744176271,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101157.38301472143,,
1993-07-19,102983.51825044648,,100000.0,,,,,,100000.0,100000.0,,,,,,,,,,,,,,101167.4184693856,,
