Date,equal_weight,risk_parity,regime_routed,"tqqq_trend_trailing_stop_10pct (synth, 1999+)",sixty_forty (2002+),trend_following_spy_200d (1993+),buy_hold_spy
2018-03-27,476718.4183787445,264715.1961847411,1016167.0551287441,1589753.3361270556,384960.36686279875,618911.0543835585,952580.110727824
2018-03-28,476152.5507693015,264732.04672700143,1016277.7597715467,1589926.5291806306,384685.0922220562,617082.2411731677,949765.3426313167
2018-03-29,479740.946971856,264865.575438742,1016500.1037117344,1590274.3775180636,388382.76169972855,624967.1425102355,961901.1740008551
2018-04-02,474335.67451281036,264740.3473355289,1016444.5436893149,1590187.4560512132,383659.3418919391,611477.3691141633,941138.7562926717
2018-04-03,477073.0509359688,264765.5586631333,1016333.3197939665,1590013.4506474808,385426.17811093706,619314.7416479563,953201.4349977591
2018-04-04,479698.5481847225,264872.6817116532,1016555.3521826267,1590360.8115748197,387581.7414137134,625940.7243208886,963399.6359566174
2018-04-05,481258.2060460717,264928.56523235526,1016666.8876295026,1590535.3043886465,388260.89129549346,630880.6442270882,971002.7792805334
2018-04-06,476239.83724948927,264834.33458003047,1016666.8876295026,1590535.3043886465,384767.64848588017,616821.0583016776,949363.3501206285
2018-04-09,477613.80712025147,264889.91366680287,1016778.0076743416,1590709.1473223472,386159.5792957742,619860.8922968034,954042.0279098875
2018-04-10,481531.2094455694,264937.9664408062,1016666.8876295023,1590535.3043886463,389563.52855500695,629716.9882117944,969211.7697840205
2018-04-11,480447.9688273475,264974.2214368183,1016888.9200181625,1590882.6653159852,388891.56133196503,626415.8893282615,964130.9732499673
2018-04-12,482086.8894547373,265003.2447043253,1016888.9200181625,1590882.6653159852,389671.89446408645,631569.5043111349,972063.0195371737
2018-04-13,481481.9509952256,264992.4253949035,1016888.9200181625,1590882.6653159852,389347.9585945351,629716.9882117944,969211.7697840205
2018-04-16,483649.6043570672,265090.7495841711,1017111.7832108958,1591231.3260035757,391320.1031626224,634894.347092076,977180.360844926
2018-04-17,486585.16191648715,265147.51836132753,1017111.7832108958,1591231.3260035757,394259.09370595746,641686.6600722409,987634.564570836
2018-04-18,486240.6532301483,265110.01077156153,1017000.6631660566,1591057.4830698748,393172.84885489923,642161.7430626969,988365.7756300798
2018-04-19,484309.1613712857,265127.51934751007,1017222.3840031892,1591404.3565871192,390582.94391397334,638599.2152569235,982882.6078830201
2018-04-20,481653.5646786323,265075.75657710247,1017222.3840031892,1591404.3565871192,387469.77987321647,633184.3763941014,974548.5059680725
2018-04-23,481631.34878826473,265075.4541794309,1017222.3840031892,1591404.3565871192,387474.2336731567,633089.4828213854,974402.4531073826
2018-04-24,477897.02454225364,265032.8678892918,1017334.2310015927,1591579.3368110403,383636.99059446336,624563.5372627545,961279.9759650262
2018-04-25,478117.4614779519,265061.973796424,1017444.8317938859,1591752.3673945835,383178.0547214038,626107.0546281212,963655.6387236691
2018-04-26,481173.24216894025,265149.1040993704,1017555.9518387251,1591926.2103282844,386587.90816202457,632471.8954380217,973451.9102888923
2018-04-27,481926.5906364637,265193.97644875175,1017667.383435092,1592100.54067208,387998.40447778103,633065.6979155189,974365.8452166308
2018-04-30,480045.7784420701,265132.79821092624,1017555.9518387251,1591926.2103282844,386482.1575791792,628196.9686930855,966872.2730967586
2018-05-01,480282.5196063229,265155.29591630644,1017634.3589731678,1592048.8752020642,386337.42990151554,629313.2189304797,968590.3192799796
2018-05-02,478508.9654221992,265151.53952161706,1017745.5828685163,1592222.8806057968,384610.5727258054,625085.6979634431,962083.6454011376
2018-05-03,478232.56509700627,265148.43067729863,1017745.5828685163,1592222.8806057968,384791.5102604543,623708.4288883922,959963.8591754404
2018-05-04,481666.0864694632,265265.87315171375,1017968.3422107409,1592571.378823356,388013.6593839297,631783.0763624336,972391.733149305
2018-05-07,482432.7240727485,265279.1122754358,1017968.3422107409,1592571.378823356,388553.539887842,633920.7242729645,975681.8357721105
2018-05-08,482390.68868420774,265305.74076001416,1018079.2545545618,1592744.896816994,388409.6387012833,633920.7242729645,975681.8357721105
2018-05-09,484492.69077410497,265344.3324733819,1018079.2545545618,1592744.896816994,389732.7907126593,640048.0851003246,985112.5964832914
2018-05-10,487428.94999739813,265405.37152406794,1018079.2545545618,1592744.896816994,393174.5719120578,646032.7364924852,994323.7098499605
2018-05-11,488386.17688980274,265426.52621506015,1018079.2545545618,1592744.896816994,394291.18832326063,648004.0951042419,997357.8728227674
2018-05-14,488166.1738470302,265419.4821178655,1018079.2545545618,1592744.896816994,393570.52303718374,648312.7657705486,997832.9548808535
2018-05-15,485667.7661458285,265417.08163470845,1018301.8061957678,1593093.0700944904,390152.1851234141,643847.8468378884,990960.8963820754
2018-05-16,486526.18622555217,265461.3079144654,1018413.0300911162,1593267.0754982228,390537.6948950447,646555.348286216,995128.0735736551
2018-05-17,485979.29713818955,265447.24249948596,1018413.0300911162,1593267.0754982228,389550.6111650074,646009.1976373689,994287.4806615267
2018-05-18,485906.62496422994,265477.6577613787,1018524.4616874831,1593441.4058420183,390307.1395331377,644394.1205121104,991801.678645363
2018-05-21,487888.30458783126,265520.8545310682,1018524.4616874831,1593441.4058420183,392147.88494359684,649239.1878540523,999258.8322256422
2018-05-22,487064.963161268,265502.32507690997,1018524.4616874831,1593441.4058420183,391252.87139973155,647434.0775326114,996480.5457857809
2018-05-23,488268.76728741045,265559.4707109865,1018635.477881813,1593615.0863056874,393034.79733141843,649215.3209312689,999222.0981007841
2018-05-24,488289.82255516155,265619.6600199583,1018858.8603270926,1593964.5593434358,393804.70002330694,647885.2115833672,997174.8964860607
2018-05-25,488092.27633469587,265646.1235754421,1018969.2534183675,1594137.264986916,394222.29216282343,646341.653209542,994799.1706103649
2018-05-29,486523.72810104134,265624.0118561801,1018969.2534183675,1594137.264986916,394955.6804339723,638907.9269316884,983357.7530581593
2018-05-30,489533.7153355878,265656.2574775714,1018858.8603270926,1593964.5593434356,397058.2758086676,647434.0775326113,996480.5457857809
2018-05-31,487862.44076294824,265675.5837742691,1019081.2042672802,1594312.4076808689,395337.2893107819,643467.9444793569,990376.1800028924
2018-06-01,490083.9411441498,265737.9405037839,1019147.9801446928,1594416.8759111208,396830.59560786036,649785.3795113578,1000099.4882548237
2018-06-04,490871.07693437487,265778.88809100894,1019258.9963390228,1594590.55637479,396813.9374650738,652872.7833182168,1004851.3818255867
2018-06-05,491214.9730283397,265787.58967135777,1019258.9963390228,1594590.55637479,397359.2620450939,653347.7432832978,1005582.4035336713
2018-06-06,492856.71452781826,265791.22990866227,1019147.9801446928,1594416.8759111206,398064.606060462,658810.0289324778,1013989.5318789639
2018-06-07,493482.61786407017,265837.8953739511,1019258.9963390228,1594590.5563747897,399580.9000442773,658738.7152233365,1013879.771323761
2018-06-08,494099.15939172596,265905.33625953464,1019482.0672327749,1594939.5420024435,399809.75185745413,660686.2889292266,1016877.326405816
2018-06-11,494346.342042863,265937.5505868376,1019593.2911281234,1595113.547406176,399834.4387719255,661564.9771671636,1018229.7355008887
2018-06-12,494703.7554781199,265945.5316201401,1019593.2911281234,1595113.547406176,400184.80026216665,662420.2085669013,1019546.0416416335
2018-06-13,493810.67548444815,265897.86156296136,1019482.0672327749,1594939.5420024437,399338.12860330817,660306.3865706953,1016292.6100266331
2018-06-14,495074.1344807387,266013.96519148024,1019816.154320857,1595462.2080937668,401267.0852235101,661968.828465395,1018851.3122390356
2018-06-15,494797.74616041296,266008.1458800426,1019816.154320857,1595462.2080937668,401106.8611722367,661124.4643071309,1017551.7321173412
2018-06-18,494176.523278116,265965.8531202796,1019704.8265749995,1595288.040220003,400465.06316028297,659764.3367676872,1015458.3288198065
2018-06-19,493585.918764043,266010.8079919038,1019927.7936182421,1595636.8633776251,400476.52952373156,657235.6732064012,1011566.4050964495
2018-06-20,493440.33156595624,265974.65312452166,1019816.1543208569,1595462.2080937668,399482.79984602623,658356.8854672607,1013292.0884430861
2018-06-21,492154.23534481635,265975.2615730831,1019927.7936182419,1595636.8633776251,398819.7414327539,654229.7532063645,1006939.9251100387
2018-06-22,492645.23417110625,266014.9228825672,1020039.1213640997,1595811.031251389,399242.71841636824,655422.5662355741,1008775.8108312492
2018-06-25,489251.6996753049,265983.87165235425,1020262.2961083609,1596160.1793490744,396339.65092691605,646500.6019942644,995043.8123078726
2018-06-26,489903.42426542,265974.9152965057,1020150.5529604665,1595985.3615951845,397089.35764915234,647932.0842513079,997247.0392776632
2018-06-27,488390.02718149615,265993.25055009575,1020373.4161532003,1596334.0222827753,396612.3419030462,642564.1590648846,988985.143271371
2018-06-28,489895.30265841354,266036.11099234835,1020373.4161532003,1596334.0222827753,398011.8492844565,646238.1478605641,994639.8631685409
2018-06-29,490082.5964077398,266094.2333767554,1020596.6947479709,1596683.3328504923,397808.25336551067,647168.5067560733,996071.7997504193
2018-07-02,490567.02811276313,266072.9152044526,1020451.5117361154,1596456.1997464604,398194.05600572366,648552.050125258,998201.2428852288
2018-07-03,490029.17376387486,266114.4071031726,1020674.4787793583,1596805.022904083,398203.4673864858,646261.8097410555,994676.2817081338
2018-07-05,492348.69807966886,266189.88151417393,1020674.4787793583,1596805.022904083,400609.5369983529,651534.0211855946,1002790.8625126757
2018-07-06,494820.2713008848,266324.3198274704,1020897.7573741288,1597154.3334717997,403166.6071739301,657044.8198410508,1011272.6583316916
2018-07-09,496772.0109535171,266385.2996701396,1020897.7573741288,1597154.3334717997,404306.88963760016,662961.315175366,1020378.8711562405
2018-07-10,497737.9412208638,266444.43201492954,1021009.0851199863,1597328.5013455634,405166.4961535068,665346.695183035,1024050.2638963434
2018-07-11,496052.0870460235,266390.1221724979,1021009.0851199863,1597328.5013455634,404013.02659668785,660480.2214258133,1016560.1632143874
2018-07-12,498445.12871530425,266469.6690824363,1021009.0851199863,1597328.5013455634,406197.44630874426,666467.948452353,1025776.0103600331
2018-07-13,498840.922280549,266511.54859988816,1021120.7244173718,1597503.156629422,406800.7929454151,666992.774702837,1026583.7824045909
2018-07-16,498344.8505010461,266519.92063398485,1021232.363714757,1597677.8119132803,405906.37711419945,666396.4707093781,1025665.9973366181
2018-07-17,499294.9332211551,266549.89499579853,1021232.363714757,1597677.8119132803,406585.94224252395,669092.2027301479,1029815.0599339812
2018-07-18,499605.95991272194,266585.0682220748,1021344.3145636698,1597852.9546072332,406445.90881191747,670499.6950390327,1031981.3634277546
2018-07-19,499041.26954608306,266597.64634067414,1021455.3307579999,1598026.6350709025,406556.5305471261,667970.7854269964,1028089.0610020794
2018-07-20,497939.0407175236,266580.6220584164,1021567.1777564035,1598201.615294824,404282.5856585798,667207.7000332626,1026914.5788794719
2018-07-23,497595.461849669,266533.50108381105,1021455.3307579999,1598026.6350709025,402738.31923673535,668448.2058995806,1028823.8697333455
2018-07-24,499195.29591103597,266644.6103800239,1021679.1286053163,1598376.7579887765,404508.01663265005,671811.924699076,1034001.0460073613
2018-07-25,501340.26375837636,266693.5670298636,1021567.1777564035,1598201.615294824,406319.4744287122,677537.0745665402,1042812.754662516
2018-07-26,500599.1820005793,266692.4357291317,1021679.1286053164,1598376.7579887768,405431.5856652474,675938.7699007635,1040352.7675210375
2018-07-27,498938.5201457562,266686.1543583421,1021902.7187516143,1598726.555966588,404055.2092947785,671358.576191567,1033303.2869862183
2018-07-30,497301.92983021657,266594.9403084204,1021790.4563511739,1598550.9258625407,402234.09963410883,667851.7378722882,1027905.8321971606
2018-07-31,499007.6124636504,266717.51170504425,1022013.8387964536,1598900.3989002889,404302.27060998016,671143.7738865167,1032972.6798624962
2018-08-01,498029.9737528379,266687.6285471043,1022069.5026693825,1598987.4828371708,402579.44109728845,670022.4796087404,1031246.8702817537
2018-08-02,499590.39487171103,266775.0821045309,1022181.1419667681,1599162.1381210296,404126.3817833059,673672.6014816364,1036864.8560540654
2018-08-03,501063.35901263286,266834.4726239679,1022181.1419667681,1599162.1381210296,405969.29614092014,676559.1458592981,1041307.6022991333
2018-08-06,502100.81289630407,266901.61196920765,1022292.5735631348,1599336.4684648248,406957.9433802719,679040.2396088508,1045126.3102409864
2018-08-07,502655.61643163784,266945.94951336714,1022404.9398140843,1599512.2610389038,406918.2946268791,681282.7051390284,1048577.7400513126
2018-08-08,502592.32840183185,266917.1669554249,1022292.5735631348,1599336.468464825,406980.2801161528,680996.4660994614,1048137.1830212288
2018-08-09,502808.6543899608,266959.17141972616,1022404.9398140843,1599512.261038904,408017.0697499316,680066.1072039522,1046705.2464393501
