Date,buy_hold_spy,trend_following_spy,vix_overlay_spy_30,vix_overlay_spy_25,sixty_forty,dual_momentum,sector_momentum_top3_monthly,sector_rotation_5d_live,sector_rotation_5d_trend_filter,sector_rotation_5d_vix_filter,sector_rotation_monthly_match_live,buy_hold_btc,btc_stress_overlay
2020-02-07,204325.21973369565,167115.5878378482,178840.801752407,182271.1321488915,193578.89833717028,130986.89593651674,173293.12049889786,107197.52681126706,101326.39688568124,105935.68866581387,107221.14687722761,2141966.9301606487,6726965.417589243
2020-02-08,,,,,,,,,,,,2157092.80730894,
2020-02-09,,,,,,,,,,,,2212097.394614585,
2020-02-10,205850.521009042,168363.11675078192,180175.86016248693,183631.79820219552,194660.40305372202,131964.72177556893,174602.6754595039,107434.35325559671,101563.2233300109,106172.51511014352,107359.70833767614,2155232.5012256503,6768626.676006592
2020-02-11,206207.2503261923,168654.882151119,180488.096494208,183950.02351276868,194470.38484595084,132193.41046120436,174966.46934046628,107479.67296149678,101608.54303591096,106217.83481604359,107324.81000142079,2232118.3195880987,7010090.8339935895
2020-02-12,207535.8041275069,169741.49323990318,181650.9467155756,185135.17826655746,194828.01872854494,133045.10727447915,175712.72652030387,107754.88913939541,101883.7592138096,106493.05099394222,107436.68610130655,2257880.313128569,7090997.797212627
2020-02-13,207314.3887636838,169560.3997912831,181457.14733418726,184937.66163551307,195002.29281432123,132903.16438922178,175934.5143618461,107789.30438476134,101918.17445917553,106527.46623930815,107408.97380921686,2233461.6604478294,7014309.670139099
2020-02-14,207646.5118094185,169832.03996421324,181747.8464062698,185233.9365820796,195531.14870854444,133116.07871710783,176628.08322598002,107950.24264364598,102079.11271806016,106688.40449819279,107454.13568218806,2254832.5458275136,7081426.115714481
2020-02-15,,,,,,,,,,,,2162407.4489649315,
2020-02-16,,,,,,,,,,,,2172249.0062506,
2020-02-17,,,,,,,,,,,,2118832.683022952,
