date,spy_close,spy_200d_ma,spy_pct_from_252d_high,vix,synth_3x_qqq_nav_proxy,trend_only_position,trend_plus_vix_gate_position,trend_plus_trailing_stop_position
2022-03-25,428.37,419.89,-4.94,20.81,215984.19,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-28,431.42,420.07,-4.27,19.63,226001.54,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-29,436.75,420.27,-3.08,18.9,237661.13,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-30,434.06,420.45,-3.68,19.33,229776.86,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-03-31,427.38,420.62,-5.16,20.56,221224.14,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-04-01,428.59,420.79,-4.89,19.63,219952.59,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-04-04,432.26,421.01,-4.08,18.57,233529.94,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-04-05,426.8,421.17,-5.29,21.03,217965.2,SYNTH_3X_QQQ,SYNTH_3X_QQQ,SYNTH_3X_QQQ
2022-04-06,422.53,421.3,-6.24,22.1,203760.08,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-04-07,424.66,421.45,-5.77,21.55,205205.93,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-04-08,423.52,421.57,-6.02,21.16,196592.27,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-04-11,416.28,421.65,-7.62,24.37,182632.27,SYNTH_3X_QQQ,SYNTH_3X_QQQ,BIL_EXTENDED (stopped)
2022-04-12,414.74,421.72,-7.97,24.26,180310.99,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-13,419.49,421.82,-6.91,21.82,191299.55,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-14,414.27,421.88,-8.07,22.7,178169.03,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-18,414.44,421.94,-8.03,22.17,178573.03,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-19,421.13,422.01,-6.55,21.37,190540.1,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-20,420.82,422.09,-6.62,20.32,182196.05,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-21,414.52,422.13,-8.02,22.68,170879.73,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-22,403.15,422.12,-10.54,28.21,157449.38,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-25,405.49,422.11,-10.02,27.02,163511.06,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-26,393.74,422.03,-12.63,33.52,144989.83,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-27,394.85,421.96,-12.38,31.6,144463.16,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-28,404.83,421.94,-10.17,29.99,159849.9,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-04-29,389.86,421.86,-13.49,33.4,138264.87,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-02,392.21,421.8,-12.97,32.34,145185.04,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-03,394.01,421.78,-12.57,29.25,145644.54,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-04,406.01,421.79,-9.9,25.42,160412.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-05,391.58,421.71,-13.11,31.2,136169.45,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-06,389.24,421.61,-13.63,30.19,131270.08,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-09,376.78,421.44,-16.39,34.75,115856.66,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-10,377.65,421.26,-16.2,32.99,120074.74,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-11,371.65,421.06,-17.53,32.56,109386.59,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-12,371.26,420.86,-17.62,31.77,108606.54,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
2022-05-13,380.14,420.7,-15.65,28.87,120677.39,BIL_EXTENDED,BIL_EXTENDED,BIL_EXTENDED
